gotu	covered_length	total_length	coverage_ratio	strain
G000006785	166646	1852433	0.08996060856182113	Streptococcus pyogenes M1 GAS SF370
G001553215	163312	2355383	0.06933564520080174	Porphyromonas somerae KA00683
G000813765	152603	3407832	0.04478008305573749	Brevundimonas nasdae TPW30
G001813205	143052	1592142	0.08984876977053555	Atopobium sp. HMSC064B08 ASM181320v1
G001553935	142100	3042917	0.046698611891155754	Actinomyces oris T14V
G001438885	141297	1629936	0.08668867980092469	Atopobium rimae DSM 7090
G000174015	141223	1626291	0.08683747250645794	Atopobium rimae ATCC 49626
G000011365	134583	9105828	0.014779875042664984	Bradyrhizobium diazoefficiens USDA 110
G000473125	133022	9826880	0.013536544661174248	Bradyrhizobium genosp. SA-4 str. CB756
G000367205	132506	2526138	0.052453983115728436	Cutibacterium avidum 44067
G000220235	130310	2669193	0.04881999915330214	Prevotella nigrescens ATCC 33563
G000011025	130062	2264603	0.05743258310617799	Rothia mucilaginosa DY-18
G001641695	128014	8679329	0.014749296863847424	Bradyrhizobium neotropicale BR 10247
G000158215	127858	2546312	0.05021301395901209	Fusobacterium periodonticum 2_1_31
G000284375	127077	9207384	0.01380164007496592	Bradyrhizobium japonicum USDA 6 ASM28437v1
G000472865	124206	9902361	0.012543069274085241	Bradyrhizobium elkanii WSM2783
G000613785	118754	2827758	0.04199581435186462	Prevotella oulorum JCM 14966
G000242235	117948	2313632	0.05097958534460104	Stomatobaculum longum ACC2
G001055885	114088	1997176	0.05712466001994817	Haemophilus parainfluenzae 209_HPAR
G001440475	108370	8817291	0.012290623049641892	Bradyrhizobium lablabi CCBAU 23086
G000159995	108182	2585719	0.041838266261724495	Alloprevotella tannerae ATCC 51259
G900104755	107156	8269569	0.012957869992982705	Bradyrhizobium lablabi GAS522
G000193395	106859	2937589	0.03637642978646775	Prevotella denticola F0289
G000262545	105067	2521238	0.04167278138755643	Prevotella bivia DSM 20514
G000261025	103873	2699437	0.03847950517089304	Prevotella intermedia 17
G001908185	102267	8705449	0.011747469889261312	Bradyrhizobium sp. AS23.2 ASM190818v1
G000261285	101183	2101432	0.04814954754662535	Haemophilus parainfluenzae HK2019
G000027165	98441	2146611	0.045858797891187554	Streptococcus mitis B6
G001679325	95448	2129377	0.044824378210152546	Haemophilus parainfluenzae CCUG 62654
G001639025	94988	2345615	0.04049598932476131	Corynebacterium afermentans subsp. afermentans LCDC880199
G001638255	94677	1443667	0.06558091304989308	Streptococcus pyogenes SST2090-1
G000259485	94269	2107814	0.04472358566742606	Haemophilus parainfluenzae HK262
G000191065	93355	3057407	0.03053404404451223	Prevotella multiformis DSM 16608
G000160115	92874	2169477	0.04280939599728414	Shuttleworthia satelles DSM 14600
G000938285	92634	8426077	0.010993728160803658	Bradyrhizobium sp. LTSP857 ASM93828v1
G900011245	92173	7547693	0.012212075928366456	Bradyrhizobium sp. BF49.v1
G000213295	91652	2536778	0.03612929471952216	Capnocytophaga sp. oral taxon 329 str. F0087
G000154225	91226	2393958	0.038106767119556816	Actinomyces odontolyticus ATCC 17982
G000519165	89508	2573247	0.034784068532869174	Prevotella intermedia ATCC 25611 = DSM 20706 ATCC 25611 ASM51916v1
G000439065	89065	2564533	0.03472951995548507	Prevotella intermedia ATCC 25611 = DSM 20706
G000008925	88706	2133977	0.041568395535659476	Lactobacillus salivarius UCC118
G000430525	86353	2800206	0.03083808834064351	Prevotella corporis DSM 18810 = JCM 8529 DSM 18810
G000007645	85904	2564615	0.03349586585120964	Staphylococcus epidermidis ATCC 12228 ASM764v1
G000239815	84481	8434788	0.010015782257953609	Bradyrhizobium sp. STM 3843 ASM23981v2
G001693385	84323	8322773	0.010131599167729313	Bradyrhizobium icense LMTR 13
G000023205	84256	2501097	0.033687617873277204	Micrococcus luteus NCTC 2665 NCTC 2665 (Fleming 2665)
G000454045	82095	6371421	0.012884880782481647	Rhodococcus erythropolis CCM2595
G001440405	81321	8845258	0.009193739741678536	Bradyrhizobium valentinum LmjM3
G000429225	81308	3531393	0.023024341952311737	Actinomyces dentalis DSM 19115
G000318095	81254	2553017	0.031826658420214204	Prevotella sp. oral taxon 473 str. F0040
G000173895	80517	1872773	0.042993464771224274	Neisseria cinerea ATCC 14685
G000164675	80086	2153652	0.03718613777899122	Streptococcus parasanguinis ATCC 15912
G000186165	79671	2169437	0.036724274546806386	Neisseria mucosa C102
G001063255	79558	2578695	0.03085203950060011	Morococcus cerebrosus 379_NMEN
G000613505	79191	3077999	0.025728078534138575	Prevotella oris DSM 18711 = JCM 12252
G000314675	78562	5261968	0.014930155409534988	Afipia broomeae ATCC 49717
G000158615	77594	2171245	0.03573710014300551	Eikenella corrodens ATCC 23834
G000208405	77009	2568361	0.0299837133487076	Selenomonas sputigena ATCC 35185 ASM20840v1
G000613345	76578	2797134	0.027377308344898744	Prevotella disiens JCM 6334 = ATCC 29426 JCM 6334
G000164695	75147	2506025	0.029986532456779163	Rothia dentocariosa ATCC 17931
G900113395	74265	2474443	0.030012815005235522	Staphylococcus epidermidis NLAE-zl-G239
G000308395	73357	2406624	0.030481288310928504	Staphylococcus epidermidis AU12-03
G000344275	72700	2184662	0.03327745893872828	Streptococcus oralis subsp. tigurinus AZ_3a
G000245655	72360	2480412	0.029172572943527125	Staphylococcus epidermidis VCU057
G001068545	72149	2531263	0.028503162255364218	Staphylococcus epidermidis 1056_SEPI
G000007145	71455	5076188	0.014076507804675478	Xanthomonas campestris pv. campestris str. ATCC 33913
G000443975	69652	2408837	0.02891519849620377	Staphylococcus epidermidis E13A
G000420605	68797	2183019	0.03151461347794041	Corynebacterium massiliense DSM 45435
G000455445	68282	3217068	0.021224916601078996	Prevotella timonensis 4401737 = DSM 22865 = JCM 15640 4401737
G001814805	68214	2406825	0.028341902714156618	Staphylococcus sp. HMSC062B11 ASM181480v1
G001914135	68026	2402586	0.028313658699418043	Staphylococcus epidermidis isolate 0123W_32_35
G000934225	68003	2339868	0.02906275054832153	Staphylococcus epidermidis 949_S8
G000763765	67405	2639435	0.025537662416388357	Rothia dentocariosa C6D
G000147675	67163	1988044	0.033783457508988736	Peptostreptococcus stomatis DSM 17678
G000186205	63665	2541845	0.02504676721043179	Staphylococcus epidermidis FRI909
G000378745	60965	2391937	0.02548771142383767	Prevotella amnii DSM 23384 = JCM 14753 DSM 23384
G000800295	60859	1627009	0.03740544766500984	Parvimonas micra KCOM 1535
G001444445	60029	2861432	0.020978656840351266	Prevotella enoeca F0113
G000008865	58562	5594477	0.010467823891312808	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G000747315	58040	2328278	0.024928294645227073	Corynebacterium ureicelerivorans IMMIB RIV-2301
G000026325	57938	5358200	0.010812959575977008	Escherichia coli UMN026
G000299455	57412	5437407	0.010558709325971	Escherichia coli O104:H4 str. 2011C-3493
G000162875	56945	2096289	0.027164670520142976	Slackia exigua ATCC 700122
G000177075	55913	3033961	0.01842904374841997	Prevotella buccalis ATCC 35310
G000382385	55810	3314235	0.016839481811036332	Prevotella maculosa DSM 19339 = JCM 15638 DSM 19339
G000296385	55457	2932121	0.018913612364564764	Lachnoanaerobaculum sp. OBRC5-5 Clos_bact_OBRC5-5_V1
G000023145	54984	2446804	0.022471763165337312	Corynebacterium kroppenstedtii DSM 44385
G000472425	54984	8496279	0.0064715388936733365	Bradyrhizobium sp. Tv2a-2 ASM47242v1
G001028525	53775	1412688	0.038065730012571776	Treponema endosymbiont of Eucomonympha sp. C1
G000758925	53108	2838933	0.018707028309579692	Prevotella sp. S7-1-8 04_NF40_HMP1640v01
G000378085	52123	3508589	0.014855829508671434	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930 DSM 19665
G000017005	51610	2196662	0.0234947388355605	Streptococcus gordonii str. Challis substr. CH1
G000463355	51154	1996214	0.02562550908870492	Streptococcus intermedius B196
G000187465	50105	1905984	0.026288258453376314	Streptococcus infantis ATCC 700779 ASM18746v1
G001028645	49841	2503265	0.019910397021489935	Staphylococcus capitis subsp. capitis
G000146675	49374	2559358	0.019291556710706356	Prevotella marshii DSM 16973 = JCM 13450 DSM 16973
G000234115	49288	2593873	0.019001701316911045	Alloprevotella rava F0323
G001471555	48741	2602401	0.018729242726236273	Staphylococcus capitis FDAARGOS_173
G001543265	47839	5101809	0.009376870047467477	Pseudomonas fragi P121
G000785515	47202	2188923	0.021564029433652987	Streptococcus salivarius NCTC 8618
G001310255	46855	3475610	0.01348108677325707	Brevundimonas sp. DS20 ASM131025v1
G001586215	46810	2737971	0.017096601826681143	Corynebacterium simulans PES1
G000221605	46586	1731014	0.02691254952299635	Veillonella sp. oral taxon 780 str. F0422
G000183345	45964	4894879	0.009390221903340205	Escherichia coli O83:H1 str. NRG 857C
G000508745	45672	1490671	0.030638551363781814	Staphylococcus sp. DORA_6_22 Stp_DORA_6_22_velvet_1.1
G000188015	45504	2234402	0.020365180482294593	Streptococcus ictaluri 707-05
G001262035	45446	2414427	0.01882268546532987	Aggregatibacter aphrophilus W10433
G000013365	45206	5331656	0.008478791579951895	Rhodopseudomonas palustris HaA2
G000026345	45169	5132068	0.008801325313694206	Escherichia coli IAI39
G000175375	44985	2855988	0.01575111660133026	Corynebacterium matruchotii ATCC 14266
G001295845	44768	6161026	0.0072663222002309355	Rhodopseudomonas sp. AAP120 ASM129584v1
G000007265	44455	2160267	0.02057847479038471	Streptococcus agalactiae 2603V/R
G000762865	44190	2797873	0.01579414076335845	Prevotella sp. S7 MS 2 04_NF40_HMP671v01
G000024225	43782	1543805	0.02835979932698754	Atopobium parvulum DSM 20469
G000159115	43600	2437186	0.017889484019684997	Corynebacterium accolens ATCC 49725
G000008805	43342	2272360	0.019073562287665685	Neisseria meningitidis MC58
G001705425	43222	6303257	0.006857089913992084	Mesorhizobium sp. UASWS1009 ASM170542v1
G000818035	42727	2256647	0.0189338429980409	Neisseria elongata subsp. glycolytica ATCC 29315 ASM81803v1
G001185205	42291	4594249	0.00920520415850338	Devosia sp. H5989 ASM118520v1
G000006925	41759	4828820	0.008647868423341521	Shigella flexneri 2a str. 301
G000196295	41510	2220606	0.018693095488348677	Neisseria lactamica 020-06
G000091765	41394	2043161	0.020259783737062328	Lactobacillus crispatus ST1
G000466245	40618	3327711	0.012205987839689203	Actinomyces johnsonii F0542
G000425005	39356	2335946	0.016847992205299266	Solobacterium moorei DSM 22971
G000006605	39207	2476822	0.015829559007470056	Corynebacterium jeikeium K411 K411 = NCTC 11915
G000185385	38673	3082404	0.012546376140181495	Lachnoanaerobaculum saburreum DSM 3986
G001630765	38207	3505372	0.010899556452211063	Dietzia maris DSM 43672
G000253395	37671	1929905	0.01951961365973973	Streptococcus thermophilus JIM 8232
G001057055	37481	2354316	0.01592012287220577	Cellulomonas flavigena 493_CFLA
G000372405	36523	2356678	0.015497662387479325	Porphyromonas somerae DSM 23386
G000014205	36436	2388435	0.015255177553502607	Streptococcus sanguinis SK36
G000238795	36259	2143543	0.016915452594139704	Haemophilus sputorum CCUG 13788
G000195775	35801	5467640	0.006547797587258854	Rhodopseudomonas palustris CGA009
G001514435	35171	1787436	0.019676788427669577	Streptococcus thermophilus S9
G000308295	35079	5334146	0.006576310434697513	Afipia birgiae 34632
G001298465	35030	1840041	0.01903761927044017	Campylobacter concisus ATCC 33237
G000012005	35028	4560911	0.0076800446226642	Shigella dysenteriae Sd197
G000160635	33335	2706954	0.012314579412875136	Oribacterium sinus F0268
G000184945	32761	3284105	0.009975625018079507	Prevotella buccae ATCC 33574
G000333455	32476	5516813	0.005886732067953001	Rhodopseudomonas sp. B29 ASM33345v1
G000805675	32291	2663401	0.012123972319601892	Corynebacterium minutissimum ATCC 23348
G000477935	32188	2313371	0.013913894485579701	Corynebacterium sp. KPL1995 Cory_sp_KPL1995_V1
G000477955	32184	2317860	0.01388522171313194	Corynebacterium sp. KPL1989 Cory_sp_KPL1989_V1
G000385925	32006	2142100	0.01494141263246347	Streptococcus cristatus AS 1.3089
G000411375	31942	2722973	0.0117305606776123	Corynebacterium pyruviciproducens ATCC BAA-1742
G000269805	31772	3371034	0.009425001349734235	Actinomyces massiliensis 4401292
G000006845	31697	2153922	0.014715946074184673	Neisseria gonorrhoeae FA 1090
G000472385	31590	8613869	0.003667341585993472	Bradyrhizobium sp. ARR65 ASM47238v1
G000754275	30329	2271840	0.013349971829002043	Pasteurella multocida ATCC 43137
G000239695	30255	2205725	0.013716578449262714	Actinomyces graevenitzii C83
G000013745	30099	5513844	0.005458805145738617	Rhodopseudomonas palustris BisB18
G000014825	29857	5505494	0.005423128242442912	Rhodopseudomonas palustris BisA53
G000017645	29228	5625098	0.005195998363050742	Xanthobacter autotrophicus Py2
G000349585	29094	3927728	0.007407335742189887	Dietzia sp. UCD-THP
G000379905	29019	2257166	0.012856387168688524	Rodentibacter pneumotropicus DSM 21403
G000688415	28961	2261008	0.01280888877881016	Corynebacterium pseudodiphtheriticum DSM 44287
G000186945	28319	2008072	0.014102581979132223	Solobacterium moorei F0204
G000831485	27971	2086959	0.013402754917561868	Streptococcus iniae YSFST01-82
G000186425	27869	3151925	0.008841898205065158	Lautropia mirabilis ATCC 51599
G000154345	27692	3270209	0.008467960304677774	[Clostridium] leptum DSM 753
G000341145	27644	5330432	0.005186071222745173	Nocardiopsis xinjiangensis YIM 90004
G000833575	27643	2830519	0.009766053504675291	Corynebacterium singulare IBS B52218
G000466825	27261	2328061	0.01170974471888838	Corynebacterium pseudodiphtheriticum 090104
G000274045	27078	1647774	0.016433078808137522	Helicobacter pylori Hp A-27
G000274085	27071	1637692	0.016529970226391775	Helicobacter pylori Hp H-9
G000209465	27030	3288100	0.008220552902892248	Lachnospiraceae oral taxon 107 str. F0167
G001594265	26917	2367908	0.011367417990901674	Aggregatibacter actinomycetemcomitans 624
G000008525	26521	1667867	0.015901147993215285	Helicobacter pylori 26695 ASM852v1
G000688375	26395	3318148	0.007954738607198955	Prevotella sp. HUN102 ASM68837v1
G000160675	26387	1947166	0.013551489703497288	Granulicatella adiacens ATCC 49175
G000160535	26165	3273670	0.007992558810142745	Prevotella bergensis DSM 17361
G000274945	25978	1650078	0.015743498186146353	Helicobacter pylori NQ4216
G000340965	25810	5312089	0.004858728835303776	Nocardiopsis kunsanensis DSM 44524
G000935205	25511	6123958	0.0041657699154697015	Rhodopseudomonas palustris BAL398
G001665955	25509	2366960	0.010777114949133065	Corynebacterium sp. EPI-003-04-2554_SCH2473622 ASM166595v1
G000188035	24355	2126865	0.01145112642316273	Streptococcus pseudoporcinus LQ 940-04
G000318135	23759	2809576	0.008456436131288138	Corynebacterium durum F0235
G000455165	23514	6137283	0.003831337091673954	Mycobacterium iranicum UM_TJL
G000565075	23184	1604536	0.014449036980161242	Atopobium sp. BS2 AspBS2v1.0
G000212375	23030	2186370	0.0105334412748071	Porphyromonas asaccharolytica DSM 20707
G000758945	22931	1527867	0.015008505321471044	Atopobium parvulum DNF00906
G000015885	22785	2274482	0.010017665560773837	Actinobacillus pleuropneumoniae serovar 5b str. L20
G000504425	22778	4068467	0.005598668982690532	Rhodopseudomonas palustris JSC-3b
G000022905	22580	2819226	0.00800929049320629	Corynebacterium aurimucosum ATCC 700975 ASM2290v1
G000376645	22541	2731870	0.00825112468748513	Mannheimia haemolytica M42548
G000179055	22515	3592947	0.006266443674231766	Prevotella bryantii B14 ASM17905v1
G000614205	22444	2975513	0.0075429010056417166	Prevotella saccharolytica JCM 17484
G000315485	22297	7087734	0.003145857336068199	Bacteroides oleiciplenus YIT 12058
G000173915	22284	1916192	0.011629314807701942	Gemella haemolysans ATCC 10379
G000154525	22165	4009829	0.00552766713992043	Bacteroides stercoris ATCC 43183
G000442905	22087	2869246	0.007697841174998588	Avibacterium paragallinarum JF4211
G000701345	22064	6793945	0.003247597677049196	Bradyrhizobium sp. URHD0069 ASM70134v1
G001611775	22054	2277540	0.009683254739763078	[Haemophilus] parasuis SC1401
G000740095	21824	1609835	0.013556668851155553	Helicobacter pylori YN1-91
G000009925	21585	5310990	0.004064214016595776	Bacteroides fragilis YCH46
G000021885	21527	2269156	0.009486787157868388	Haemophilus parasuis SH0165
G000564995	21488	1557083	0.013800163510872574	Atopobium sp. ICM42b AspICM42bv1.0
G000154845	21461	4300117	0.004990794436523472	Bacteroides coprocola DSM 17136
G000242335	21437	3350206	0.00639871100463673	Prevotella dentalis DSM 3688 ASM24233v3
G000375645	21250	2023236	0.010502976419952986	Porphyromonas bennonis DSM 23058 = JCM 16335 DSM 23058
G000426585	21096	3128717	0.006742699962956062	Prevotella baroniae DSM 16972 = JCM 13447 DSM 16972
G000007745	21078	2314078	0.00910859530231911	Mannheimia succiniciproducens MBEL55E
G000188055	20854	2130431	0.009788629624709742	Streptococcus urinalis 2285-97
G000521765	20841	2443169	0.00853031452183619	Bibersteinia trehalosi USDA-ARS-USMARC-190
G000187895	20758	4421924	0.0046943366733575706	Bacteroides plebeius DSM 17135
G000277715	20694	3449360	0.005999373796878262	Pseudopropionibacterium propionicum F0230a
G000160655	20424	2642494	0.007729062014899561	Cardiobacterium hominis ATCC 15826
G000614105	20396	2426740	0.008404691067028194	Prevotella micans DSM 21469 = JCM 16134
G001070095	20338	1916254	0.010613415549295657	Streptomyces cattleya 1093_SCAT
G000347595	19846	2407846	0.008242221470974472	Bibersteinia trehalosi USDA-ARS-USMARC-192
G000296465	19425	3443906	0.005640397850580126	Barnesiella intestinihominis YIT 11860
G001070855	19163	1923996	0.009959999916839744	Trueperella pyogenes 331_TPYO
G000218235	18956	3388644	0.005593978004181023	Prevotella multisaccharivorax DSM 17128
G000173675	18888	2997845	0.0063005258777555214	Capnocytophaga sputigena ATCC 33612 Capno
G001468395	18862	4309020	0.004377329415969292	Sphingopyxis sp. H073 ASM146839v1
G000235885	18856	3097322	0.006087839753180328	Prevotella stercorea DSM 18206
G000007525	18746	2260266	0.008293714102676411	Bifidobacterium longum NCC2705
G900091655	18633	4410591	0.004224603913625181	Culturomica massiliensis Marseille-P2698
G000238055	18550	2470863	0.0075074983922621364	Oribacterium parvum ACB1
G000017245	18455	2319663	0.007955897041941006	Actinobacillus succinogenes 130Z
G000270145	18401	2362241	0.007789637043807131	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
G000348525	18284	2668385	0.006852084687929216	Avibacterium paragallinarum 221
G000374405	18277	2436793	0.007500431920150788	Riemerella columbina DSM 16469
G000308055	18187	1864179	0.009756037376239084	Actinomyces sp. ph3 ASM30805v1
G000381525	18125	2106935	0.008602543505138982	Peptostreptococcus anaerobius VPI 4330 = DSM 2949
G000614145	18054	4782583	0.0037749475544909517	Bacteroides faecichinchillae JCM 17102
G000007945	18026	1698955	0.010610051472817114	Haemophilus ducreyi 35000HP
G001652405	18007	2334734	0.007712655917119466	Bibersteinia trehalosi Y31
G000512915	17979	3076856	0.005843302383991971	Barnesiella viscericola DSM 18177 C46, DSM 18177
G000374585	17865	3619906	0.004935211024816666	Bacteroides barnesiae DSM 18169 = JCM 13652 DSM 18169
G001746855	17784	2141493	0.0083044866361926	Actinomyces hongkongensis HKU8
G000213825	17742	2143887	0.008275622735713216	Streptococcus parauberis KCTC 11537
G000427365	17695	2880076	0.006143935090601776	Rikenella microfusus DSM 15922
G001022195	17670	7227285	0.0024449015086578153	Klebsiella oxytoca CAV1374
G000143825	17620	2349953	0.007498022300871549	Corynebacterium genitalium ATCC 33030
G001425835	17296	4798932	0.0036041352534272207	Afipia sp. Root123D2 Root123D2
G000318335	17257	1901306	0.009076392753191753	Actinomyces sp. oral taxon 181 str. F0379
G000497755	17219	4143240	0.004155926279916201	Aliihoeflea sp. 2WW Alii2WW1
G000499785	16983	5025334	0.003379476866612249	Bacteroides neonati MS4
G000318295	16882	3218123	0.005245915087770107	Capnocytophaga sp. oral taxon 326 str. F0382
G001427625	16770	5804683	0.002889046654227285	Rhizobium sp. Root651 Root651
G000009545	16581	1852352	0.00895132242683896	Streptococcus uberis 0140J
G900106785	16575	3475353	0.004769299694160564	Prevotellamassilia timonensis Marseille-P2831
G900108575	16421	6356861	0.002583193182924717	Tardiphaga sp. OK245 IMG-taxon 2609459751 annotated assembly
G000026745	16344	2170808	0.007528993812442188	Streptococcus suis BM407
G000422165	16332	2225962	0.007337052474390848	Lactobacillus helveticus CNRZ32
G000336555	16316	4399548	0.0037085627887228417	Afipia clevelandensis ATCC 49720
G000013885	16268	5011522	0.003246119641897212	Nitrobacter hamburgensis X14
G001276625	16180	1313645	0.012316874041312532	Achromatium sp. WMS1 ASM127662v1
G000220835	16165	2828172	0.00571570611688398	Actinomyces sp. oral taxon 448 str. F0400
G000157935	16019	3512473	0.004560604451621407	Prevotella copri DSM 18205
G001866515	15958	5969261	0.0026733627495932914	Massilia timonae NEU
G000262245	15950	2253160	0.007078946901240924	Pasteurella bettyae CCUG 2042
G001552455	15812	3476986	0.00454761681525321	Microbacterium hydrocarbonoxydans NBRC 103074
G000173655	15777	2513912	0.006275876005206228	Corynebacterium amycolatum SK46
G001281505	15727	1915154	0.00821187225674802	Lawsonella clevelandensis X1698
G000711965	15470	4025772	0.003842741218330298	Actinomyces israelii DSM 43320
G000577555	15358	2472125	0.006212469029680943	Corynebacterium jeddahense JCB
G000069945	15304	2369219	0.006459512607319121	Corynebacterium urealyticum DSM 7109
G000827595	15260	2492358	0.006122715918018198	Necropsobacter massiliensis FF6
G000411555	15252	1665560	0.009157280434208314	Atopobium sp. oral taxon 199 str. F0494
G001441165	15052	3651382	0.004122274798966528	Acidipropionibacterium acidipropionici CGMCC 1.2230
G001262075	14584	2925783	0.004984648553908475	Ottowia sp. oral taxon 894 W10237
G000025205	14580	1617545	0.009013659589068619	Gardnerella vaginalis 409-05
G000006865	14566	2365589	0.006157451695962401	Lactococcus lactis subsp. lactis Il1403 IL1403
G000287635	14492	3164912	0.0045789582775129295	Prevotella sp. MSX73 PspMSX73v1.0
G000397205	14486	6867980	0.0021092082388125765	Pseudomonas protegens CHA0
G000177535	14432	2601311	0.0055479717726946145	Corynebacterium resistens DSM 45100
G000525775	14413	1806210	0.007979692283842965	Mogibacterium timidum ATCC 33093
G000209675	14370	2694139	0.005333800520314653	Gallibacterium anatis UMN179
G000565015	14173	2040170	0.0069469701054323905	Porphyromonas catoniae ATCC 51270
G000516555	14094	5085524	0.002771395828630442	Afipia sp. P52-10 P52-10
G001028605	14021	1129905	0.012409007836942043	Treponema endosymbiont of Eucomonympha sp. E8
G001028545	13979	1614423	0.008658821139193383	Treponema endosymbiont of Eucomonympha sp. D11
G000949895	13961	6298483	0.0022165654809261216	Agrobacterium arsenijevicii KFB 330
G001678905	13853	2392314	0.005790627818923436	Dermabacter vaginalis AD1-86
G000160075	13813	2043439	0.006759683063698011	Abiotrophia defectiva ATCC 49176
G000156595	13774	2809149	0.0049032642981913736	Corynebacterium glucuronolyticum ATCC 51867
G001708485	13748	6253326	0.0021985100408966366	Pseudomonas fluorescens L228
G001605965	13667	6301761	0.002168758859626698	Pseudomonas koreensis D26
G000614065	13560	2546609	0.005324727902870052	Prevotella dentasini JCM 15908
G000019405	13553	2263857	0.0059866855547854834	Haemophilus somnus 2336
G001028585	13425	2422062	0.005542797830939092	Treponema endosymbiont of Eucomonympha sp. E12
G000466165	13393	2366015	0.005660572735168627	Actinobaculum sp. oral taxon 183 str. F0552
G000218565	13352	3896074	0.003427039630150762	Oligotropha carboxidovorans OM5 ASM21856v1
G000969305	13331	2410835	0.005529619405724572	Avibacterium paragallinarum CL
G000238215	13290	3405521	0.003902486579880142	Tannerella forsythia 92A2
G001598035	13266	2182100	0.006079464735804958	Streptococcus halotolerans HTS9
G000165735	13223	1765528	0.007489544204340005	Megasphaera micronuciformis F0359
G000758965	13161	3042317	0.004325979179684431	Corynebacterium freneyi DNF00450
G000185505	13087	2362882	0.005538575349932837	Pseudoramibacter alactolyticus ATCC 23263
G001293125	12863	1860551	0.006913543353554942	Lawsonella clevelandensis X1036
G000009865	12675	2697861	0.004698166436298979	Staphylococcus haemolyticus JCSC1435
G000444545	12661	2178597	0.005811538343254857	Haemophilus parasuis str. Nagasaki ASM44454v1
G000219605	12560	4547930	0.002761695980369091	Pseudomonas stutzeri CGMCC 1.1803
G000025085	12358	2658366	0.00464872030412667	Staphylococcus lugdunensis HKU09-01
G000759055	12220	2227780	0.005485281311440088	Corynebacterium tuscaniense DNF00037
G000380005	12152	1877438	0.006472650494983057	Streptococcus didelphis DSM 15616
G000007465	12138	2032925	0.005970707232190071	Streptococcus mutans UA159
G000332735	12039	2560716	0.004701419446748487	Staphylococcus warneri SG1
G000172375	11902	1512980	0.007866594403098521	Haemophilus parasuis 29755
G000190695	11880	2220455	0.005350254790121844	Kingella denitrificans ATCC 33394
G001560465	11859	2251982	0.005266027881217523	Sulfolobus acidocaldarius NG05B_C06_06
